         33889104 function calls (33888896 primitive calls) in 104.676 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        1    0.000    0.000    0.000    0.000 getlimits.py:176(iinfo)
        1    0.000    0.000    0.000    0.000 getlimits.py:2(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:22(finfo)
        1    0.000    0.000    0.000    0.000 hashlib.py:55(<module>)
        6    0.000    0.000    0.000    0.000 hashlib.py:91(__get_openssl_constructor)
        1    0.001    0.001    0.001    0.001 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:3(<module>)
        1    0.001    0.001    0.004    0.004 index_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 index_tricks.py:142(nd_grid)
        2    0.000    0.000    0.000    0.000 index_tricks.py:202(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:270(AxisConcatenator)
        3    0.000    0.000    0.000    0.000 index_tricks.py:288(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:397(RClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:491(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:496(CClass)
        1    0.000    0.000    0.000    0.000 index_tricks.py:513(__init__)
        1    0.000    0.000    0.000    0.000 index_tricks.py:518(ndenumerate)
        1    0.000    0.000    0.000    0.000 index_tricks.py:565(ndindex)
        1    0.000    0.000    0.000    0.000 index_tricks.py:660(IndexExpression)
        2    0.000    0.000    0.000    0.000 index_tricks.py:703(__init__)
        1    0.000    0.000    0.000    0.000 info.py:147(<module>)
        1    0.000    0.000    0.000    0.000 info.py:171(<module>)
        1    0.000    0.000    0.000    0.000 info.py:34(<module>)
        1    0.000    0.000    0.000    0.000 info.py:83(<module>)
        1    0.000    0.000    0.000    0.000 info.py:84(<module>)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 level.py:16(<module>)
        1    0.000    0.000    0.000    0.000 level.py:23(levelManager)
        1    0.000    0.000    0.000    0.000 level.py:24(__init__)
  3490895    6.690    0.000    9.713    0.000 level.py:37(ev_update)
        4    0.000    0.000    0.000    0.000 level.py:47(ev_getLevel)
        1    0.000    0.000    0.000    0.000 level.py:49(ev_switchLevel)
        3    0.000    0.000    0.000    0.000 level.py:53(ev_spawnEntity)
        1    0.000    0.000    0.000    0.000 level.py:58(level)
        3    0.000    0.000    0.000    0.000 level.py:60(__init__)
        3    0.005    0.002    0.022    0.007 level.py:77(loadLevel)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:37(LinAlgError)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:38(TestLoader)
        1    0.000    0.000    0.000    0.000 machar.py:15(MachAr)
        1    0.000    0.000    0.000    0.000 machar.py:4(<module>)
        1    0.000    0.000    0.000    0.000 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 main.py:63(TestProgram)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:20(memmap)
        1    0.000    0.000    0.000    0.000 movementmanager.py:16(<module>)
        1    0.000    0.000    0.000    0.000 movementmanager.py:22(movementmanager)
        2    0.000    0.000    0.000    0.000 movementmanager.py:23(__init__)
        5    0.000    0.000    0.000    0.000 movementmanager.py:31(ev_distLevel)
        2    0.000    0.000    0.000    0.000 movementmanager.py:44(ev_up)
        2    0.000    0.000    0.000    0.000 movementmanager.py:47(ev_down)
        6    0.000    0.000    0.000    0.000 movementmanager.py:50(ev_left)
       10    0.000    0.000    0.000    0.000 movementmanager.py:53(ev_right)
